PO,Item_Code,Item_Name,DC_File,DC_Match,Item_Match
FPO-30441.pdf,02-30-1510015-09,SPRING:,None,0,0
FPO-30441.pdf,02-30-9510015-04,O-RING:,None,0,0
FPO-30441.pdf,02-30-9510015-05,O-RING:,None,0,0
FPO-30441.pdf,02-34-9510020-03,BOLT:,None,0,0
FPO-30441.pdf,02-67-9010010-27,"SCALE,WEIGH:",None,0,0
FPO-30441.pdf,02-67-9010010-37,O-RING:,None,0,0
FPO-30441.pdf,02-67-9030010-07,GASKET:,None,0,0
FPO-30441.pdf,02-67-9030010-08,GASKET:,None,0,0
FPO-30441.pdf,02-67-9520010-26,"IMPELLER,PUMP:",None,0,0
PO-34820.pdf,99-75-1000035-22,"BREAKER,CIRCUIT:",None,0,0
PO-34820.pdf,99-75-1000035-46,"BREAKER,CIRCUIT:",None,0,0
PO-34820.pdf,99-75-1000083-25,"BREAKER,CIRCUIT:",None,0,0
PO-34820.pdf,99-76-1001901-15,BELL:,None,0,0
PO-35159.pdf,09-65-1001019-04,"FILTER,AIR: ",None,0,0
PO-35159.pdf,09-65-1001033-01,"FILTER,AIR: ",None,0,0
PO-35159.pdf,09-65-1001033-02,"FILTER,AIR:",None,0,0
FPO-32264.pdf,99-85-9999099-14,"PRESSURE CONTROL VALVE,",None,0,0
FPO-32264.pdf,99-85-9999099-15,PRESSURE SENSOR WITH LOCAL INDICATING CONTROLLER,None,0,0
PO-31526.pdf,99-82-9999999-01,DIFFERENTIAL PRESSURE GAUGE WITH MANIFOLD,Fatima DC # 1659.txt,1,1
PO-31526.pdf,99-82-9999999-02,NEEDLE VALVE FOR PRESSURE GAUGE,Fatima DC # 1659.txt,1,1
PO-31526.pdf,99-82-9999999-03,BOURDON TUBE PRESSURE GAUGE,Fatima DC # 1659.txt,1,1
PO-31526.pdf,99-89-9999099-01,"FITTING,",Fatima DC # 1659.txt,1,1
PO-31526.pdf,99-89-9999099-02,"SEAMLESS TUBING ,",Fatima DC # 1659.txt,1,1
PO-31526.pdf,99-89-9999099-03,"FITTING,",Fatima DC # 1659.txt,1,1
PO-31526.pdf,99-89-9999099-04,HEX SOCKET. PART NO H SSA 8N S316,Fatima DC # 1659.txt,1,1
FPO-31506.pdf,99-76-9999999-73,WALL MOUNTED INDUSTRIAL SOCKET 16A SINGLE PHASE PALAZZOLI TAIS EX SERIES INTERLOCKED SOCKETS IN ANTISTATIC THERMOSETTING SUITABLE FOR ZONE 2 GAS  GAS II 3G 2D SWITCHED SOCKETS IN THERMOSETTING GRP WITH MECHANICAL INTERLOCK AND MCB FOR WALL MOUNTING 50 60HZ IP66 RATED CURRENT 16AMPERE,FPO 31506 invoice value $1800 3.txt,1,1
FPO-31506.pdf,99-76-9999999-82,CONNECTORS 16A 3PIN 6H WITH CABLE GLAND FOR HEAVY DUTY,FPO 31506 invoice value $1800 3.txt,1,1
FPO-31506.pdf,99-76-9999999-80,PLUGS WITH CABLE GLAND 16A 5PIN 6H FOR HEAVY DUTY 50 60HZ IP44 PALAZZOLI CEE SERIES HIGH PERFORMANCE PLUGS AND SOCKETS,FPO 31506 invoice value $1800 3.txt,1,1
