Category,Properties
bolt,"['material', 'text', 'part', 'qty installed', 'mfg', 'tag', 'serial', 'drawing']"
"cable,fiber optic","['fibers', 'type', 'style', 'text', 'mfg']"
caps for iec en 60309-2,"['ip rating', 'rated current', 'pole', 'palazzoli code', 'manufacture']"
"cartridge,font","['[type/application', 'text', 'printer', 'mfg]']"
catalyst,"['type/application', 'text']"
"chemical,water treatment","['[type/application', 'service', 'form', 'container', 'text', 'concentration]']"
connectors,"['rated current', 'rated frequency', 'colour', 'h ref', 'palazzoli code', 'iec/en 60529)', 'manufacture', 'rated current', 'rated voltage', 'rated insulation voltage', 'storage temperature', 'operating temperature']"
hydraulic cylinder,"['make', 'capacity', 'model no']"
gasket,"['size', 'material', 'text', 'qty installed', 'mfg', 'tag', 'type/application', '']"
"impeller,pump","['[bore', 'number of vanes', 'size', 'material', 'configuration', 'type', 'text', 'tag #', 'serial #', 'outside diameter', 'fg drawing #]']"
"light,led","['wattage', 'voltage', 'type', 'color', 'exd class', 'configuration', 'ip designation', 'mount', 'text', 'type/application', 'ip', 'area classification', 'mfg']"
mounting plates,"['installable devices', 'palazzoli code', 'equipment included', 'characteristics', 'manufacture']"
o-ring,"['material', 'text', 'part', 'mfg', 'tag', 'serial', 'drawing', 'inside diameter', 'width']"
palazzoli cee-ex series plugs with cable gland,"['rated current', 'rated voltage', 'colour', 'pole', 'h ref', 'part number', 'manufacture']"
pig,"['bore size', 'function', 'type', 'material', 'text']"
plugs with cable gland,"['rated current', 'rated voltage', 'colour', 'h ref', 'part number', 'material', 'manufacture']"
pressure control valve,"['tag', 'service / location', 'process fluid', 'line size', 'area classification', 'instrument gas supply', 'outlet operating pressure', 'make']"
"reservoir,ink","['color', 'capacity', 'material', 'printer', 'text', 'mfg']"
"scale,weigh","['type/application', 'text', 'qty installed', 'type', 'make', 'tag', 'serial', 'drawing']"
spring,"['type/application', 'material', 'text:part', 'qty installed', 'mfg', 'tag', 'serial', 'drawing']"
wall mounted industrial socket,"['voltage', 'characteristics', 'colour', 'entry', 'palazzoli part number', 'equipment included', 'manufacture']"
pressure sensor with local indicating controller,"['tag', 'service / location', 'process fluid', 'connection', 'area classification', 'actuator type','mounting','instrument gas supply', 'output', 'controller action', 'setpoint adjustment', 'make']"
