PO,Item_Code,Item_Name,DC,DC_Match,Item_Match
FPO-30441.pdf,02-30-1510015-09,SPRING:,008547250062.INV.PEK.CO.002.20190124.201719.20190124.201800.47653.txt,1,1
FPO-30441.pdf,02-30-9510015-04,O-RING:,008547250062.INV.PEK.CO.002.20190124.201719.20190124.201800.47653.txt,1,1
FPO-30441.pdf,02-30-9510015-05,O-RING:,008547250062.INV.PEK.CO.002.20190124.201719.20190124.201800.47653.txt,1,1
FPO-30441.pdf,02-34-9510020-03,BOLT:,008547250062.INV.PEK.CO.002.20190124.201719.20190124.201800.47653.txt,1,1
FPO-30441.pdf,02-67-9010010-27,"SCALE,WEIGH:",008547250062.INV.PEK.CO.002.20190124.201719.20190124.201800.47653.txt,1,1
FPO-30441.pdf,02-67-9010010-37,O-RING:,008547250062.INV.PEK.CO.002.20190124.201719.20190124.201800.47653.txt,1,1
FPO-30441.pdf,02-67-9030010-07,GASKET:,008547250062.INV.PEK.CO.002.20190124.201719.20190124.201800.47653.txt,1,1
FPO-30441.pdf,02-67-9030010-08,GASKET:,008547250062.INV.PEK.CO.002.20190124.201719.20190124.201800.47653.txt,1,1
FPO-30441.pdf,02-67-9520010-26,"IMPELLER,PUMP:",008547250062.INV.PEK.CO.002.20190124.201719.20190124.201800.47653.txt,1,1
PO-34820.pdf,99-75-1000035-22,"BREAKER,CIRCUIT:",New Microsoft Office Excel Worksheet.txt,1,1
PO-34820.pdf,99-75-1000035-46,"BREAKER,CIRCUIT:",New Microsoft Office Excel Worksheet.txt,1,1
PO-34820.pdf,99-75-1000083-25,"BREAKER,CIRCUIT:",New Microsoft Office Excel Worksheet.txt,1,1
PO-34820.pdf,99-76-1001901-15,BELL:,New Microsoft Office Excel Worksheet.txt,1,1
PO-35159.pdf,09-65-1001019-04,"FILTER,AIR:
",002.txt,1,1
PO-35159.pdf,09-65-1001033-01,"FILTER,AIR:
",002.txt,1,1
PO-35159.pdf,09-65-1001033-02,"FILTER,AIR:",002.txt,1,1
FPO-32264.pdf,99-85-9999099-14,"PRESSURE CONTROL VALVE,",FPO-32264.txt,1,1
FPO-32264.pdf,99-85-9999099-15,"PRESSURE SENSOR WITH LOCAL
INDICATING CONTROLLER",FPO-32264.txt,1,1
PO-31526.pdf,99-82-9999999-01,"DIFFERENTIAL PRESSURE GAUGE
WITH MANIFOLD",,0,0
PO-31526.pdf,99-82-9999999-02,"NEEDLE VALVE FOR PRESSURE
GAUGE",,0,0
PO-31526.pdf,99-82-9999999-03,"BOURDON TUBE PRESSURE
GAUGE",,0,0
PO-31526.pdf,99-89-9999099-01,"FITTING,",,0,0
PO-31526.pdf,99-89-9999099-02,"SEAMLESS TUBING ,",,0,0
PO-31526.pdf,99-89-9999099-03,"FITTING,",,0,0
PO-31526.pdf,99-89-9999099-04,"HEX SOCKET.
PART NO H SSA 8N S316",,0,0
FPO-31506.pdf,99-76-9999999-73,"WALL MOUNTED INDUSTRIAL
SOCKET 16A SINGLE PHASE
PALAZZOLI TAIS EX SERIES
INTERLOCKED SOCKETS IN
ANTISTATIC THERMOSETTING
SUITABLE FOR ZONE 2 GAS  GAS
II 3G 2D
SWITCHED SOCKETS IN
THERMOSETTING GRP WITH
MECHANICAL INTERLOCK AND MCB
FOR WALL MOUNTING
50 60HZ IP66
RATED CURRENT 16AMPERE",FPO 31506 invoice value $1800 3.txt,1,1
FPO-31506.pdf,99-76-9999999-82,"CONNECTORS 16A 3PIN 6H
WITH CABLE GLAND FOR HEAVY
DUTY",FPO 31506 invoice value $1800 3.txt,1,1
FPO-31506.pdf,99-76-9999999-80,"PLUGS WITH CABLE GLAND 16A
5PIN 6H
FOR HEAVY DUTY 50 60HZ IP44
PALAZZOLI CEE SERIES
HIGH PERFORMANCE PLUGS AND
SOCKETS",FPO 31506 invoice value $1800 3.txt,1,1
FPO-31506.pdf,99-76-9999999-81,"PLUGS WITH CABLE GLAND 63A
5PIN 6H
FOR HEAVY DUTY 50 60HZ IP44
PALAZZOLI CEE SERIES
HIGH PERFORMANCE PLUGS AND
SOCKETS",FPO 31506 invoice value $1800 3.txt,1,1
PO-30407.pdf,01-42-1151015-01,"FILTER,OIL:",Delivery Challan SO # 302 ffc.xlsx.txt,1,1
LPO-35240.pdf,09-03-6794535-01,"IMPELLER,PUMP:",DC 2.txt,1,1
PO-34887.pdf,06-67-1122112-01,PLATE:,,0,0
PO-34887.pdf,06-67-1122112-02,PLATE:,,0,0
PO-34887.pdf,06-67-1122112-03,"IMPELLER,PUMP:",,0,0
PO-34887.pdf,06-67-1122112-04,"CASING,PUMP:",,0,0
PO-33436.pdf,99-89-0110001-16,PIPE:,20190430161432384_recognized.txt,1,1
PO-33436.pdf,99-89-1800021-09,"ADAPTER,TUBE TO PIPE:",20190430161432384_recognized.txt,1,1
PO-35617.pdf,99-22-2200040-70,"LOCK,PAD:",,0,0
PO-35617.pdf,99-22-2200040-71,CABINET:,DC 19710  35617 (FFCL- LOCK PAD).txt,1,1
FPO-30030.pdf,99-06-1850010-19,NO NOUN:,FPO-30030.txt,1,1
FPO-30030.pdf,99-06-1850010-42,"CATALYST:
",FPO-30030.txt,1,1
FPO-30030.pdf,99-06-1850010-28,CATALYST:,FPO-30030.txt,1,1
FPO-30030.pdf,99-06-1850010-27,CATALYST:,FPO-30030.txt,1,1
FPO-30030.pdf,99-06-1850010-29,CATALYST:,FPO-30030.txt,1,1
PO-34352.pdf,99-98-9810010-01,"8MP(4K) IR VARI-FOCAL BULLET
NETWORK CAMERA 1 2 5
PROGRESSIVE SCAN CMOS
3840X2160 15FPS 2 8 TO 12MM",Delivery Challans PO # LPO 32090 and LPO 34352_recognized.txt,1,1
LPO-33094.pdf,99-07-1710015-04,"CHEMICAL,WATER TREATMENT:",144391.txt,1,1
LPO-33094.pdf,99-07-1710015-04,"CHEMICAL,WATER TREATMENT:",143695.txt,1,1
PO-35688.pdf,99-77-1000065-98,REFRIGERANT:,,0,0
LPO-34060.pdf,99-98-9810010-01,FLAT HYDRAULIC CYLINDER WITH,,0,0
LPO-34060.pdf,99-98-9810010-01,"HYDRAULIC CYLINDER, MAKE:",,0,0
LPO-34222.pdf,99-76-1000004-13,"LIGHT,LED:",,0,0
